Title,Processor,Ram,OS,Storage,Display,Warranty,Discount Price,Original Price,Delivery,Note,Offer,Reviews
Acer Extensa Intel Core i3 N305 - (8 GB/512 GB SSD/Windows 11 Home) EX215-33 Notebook,Intel Core i3 Processor,8 GB LPDDR5 RAM,64 bit Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,1 Year International Travelers Warranty,"?31,490","?43,999",Free delivery,Save extra with combo offers,Only 1 left,4.2689 Ratings & 76 Reviews
Lenovo IdeaPad Slim 1 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) 15AMN7 Thin and ...,AMD Ryzen 3 Quad Core Processor,8 GB LPDDR5 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display,1 Year Onsite warranty,"?33,099","?64,090",Free delivery,EOSS Special Deal,"Upto ?28,000 Off on Exchange",4.1229 Ratings & 13 Reviews
HP AMD Athlon Dual Core 3050U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq1559AU Thin and Light Laptop,AMD Athlon Dual Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,"?27,990","?43,500",Free delivery,Daily Saver,Only 1 left,"4.11,296 Ratings & 128 Reviews"
Infinix Y1 Plus Neo Intel Intel Celeron Quad Core 11th Gen JSL N5100 - (8 GB/512 GB SSD/Windows 11 Hom...,Intel Celeron Quad Core Processor (11th Gen),8 GB LPDDR4X RAM,Windows 11 Operating System,512 GB SSD,39.01 cm (15.36 inch) Display,1 Year Onsite Warranty,"?22,990","?26,390",Free delivery,Save extra with combo offers,"Upto ?22,200 Off on Exchange","43,977 Ratings & 560 Reviews"
Lenovo IdeaPad Slim 1 AMD Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) 15AMN7 Thin and ...,AMD Ryzen 5 Quad Core Processor,8 GB LPDDR5 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display,Microsoft Office Home & Student 2021,"?34,990","?66,290",Free delivery,Save extra with combo offers,Bank Offer,4.276 Ratings & 4 Reviews
DELL Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) New Inspiron 15 Laptop Thin and ...,Processor: Intel i5-1235U (Base- 3.30 GHz & Turbo up to 4.40 GHz) 10 Cores,RAM & Storage: 8GB DDR4 & 512GB SSD,Graphics & Keyboard: Integrated & Standard Keyboard,Display: 15.6" FHD WVA AG 120Hz 250 nits Narrow Border,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,"?45,990","?62,626",Free delivery,Lowest Price in 30 days,"Upto ?28,000 Off on Exchange",4465 Ratings & 33 Reviews
HP AMD Ryzen 7 Octa Core 5700U - (16 GB/512 GB SSD/Windows 11 Home) 15s- ey2001au Thin and Light Lapto...,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty,"?50,990","?64,235",Free delivery,Save extra with combo offers,"Upto ?28,000 Off on Exchange",4.2500 Ratings & 39 Reviews
DELL Inspiron 3520 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) New Inspiron 15 La...,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,1 Year Onsite Hardware Service,"?39,990","?64,133",Free delivery,Save extra with combo offers,Only few left,"4.21,057 Ratings & 106 Reviews"
MSI Modern 15 Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) Modern 15 B12MO-817IN ...,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,1 Year Carry-in Warranty,"?43,990","?57,990",Free delivery,Save extra with combo offers,"Upto ?28,000 Off on Exchange",4.2700 Ratings & 94 Reviews
HP Victus AMD Ryzen 5 Hexa Core 5600H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce...,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,38.86 cm (15.3 Inch) Display,1 Year Onsite Warranty,"?62,990","?80,587",Free delivery,Save extra with combo offers,Only few left,4.3410 Ratings & 30 Reviews
