Title,Processor,Ram,OS,Storage,Display,Warranty,Discount Price,Original Price,Delivery,Note,Offer,Reviews,Company,ProcessorCompany,ProcessorC
ASUS Vivobook Go 15 OLED (2023) AMD Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) E1504F...,AMD Ryzen 5 Quad Core Processor,8 GB LPDDR5 RAM,Windows 11,512 GB SSD,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty,50990.0,74990.0,Free delivery,Save extra with combo offers,"Upto ?28,000 Off on Exchange",3.0,ASUS,AMD,AMD
HP Intel Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX RTX 305...,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,Windows 11,512 GB SSD,39.62 cm (15.6 inch) Display,1 Year Warranty,66790.0,99500.0,Free delivery,Bank Offer,,3.0,HP,Intel,Intel
HP 15s (2023) Intel Core i5 13th Gen 1335U - (8 GB/1 TB SSD/Windows 11 Home) 15-fd0012TU Thin and Ligh...,Intel Core i5 Processor (13th Gen),8 GB DDR4 RAM,Windows 11,1 TB SSD,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,58490.0,78000.0,Free delivery,Save extra with combo offers,Bank Offer,3.0,HP,Intel,Intel
DELL Inspiron 3520 Intel Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) IN3520KTMFJS1ORGR1 Lapto...,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,Windows 11,512 GB SSD,38.1 cm (15 inch) Display,1 Year In-Home Hardware Service,39990.0,79990.0,Free delivery,Bank Offer,,3.0,DELL,Intel,Intel
Acer Aspire 7 (2023) Intel Core i5 12th Gen 12450H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NV...,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,Windows 11,512 GB SSD,39.62 cm (15.6 Inch) Display,One-year International Travelers Warranty,53890.0,78999.0,Free delivery,Save extra with combo offers,Bank Offer,3.0,Acer,Intel,Intel
AXL Intel Celeron Dual Core 9th Gen - (4 GB/256 GB SSD/Windows 11 Home) 15W_LAP02 Thin and Light Lapto...,Intel Celeron Dual Core Processor (9th Gen),4 GB DDR4 RAM,Windows 11,256 GB SSD,39.62 cm (15.6 inch) Display,1 Year,17036.0,33990.0,Free delivery,Bank Offer,,4.0,AXL,Intel,Intel
Acer TravelMate P2 Intel Core i7 11th Gen 1165G7 - (16 GB/1 TB SSD/Windows 11 Home) TMP214-53 Thin and...,Intel Core i7 Processor (11th Gen),16 GB DDR4 RAM,Windows 11,1 TB SSD,35.56 cm (14 inch) Display,1 Year Onsite Warranty,47990.0,99000.0,Free delivery,Save extra with combo offers,"Upto ?28,000 Off on Exchange",3.0,Acer,Intel,Intel
ASUS VivoBook Gaming Intel Core i5 9th Gen 9300H - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Grap...,Intel Core i5 Processor (9th Gen),8 GB DDR4 RAM,Windows 10,1 TB HDD|256 GB SSD,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,72250.0,81990.0,Free delivery,Bank Offer,,4.0,ASUS,Intel,Intel
HP Victus Intel Core i7 12th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3...,Intel Core i7 Processor (12th Gen),8 GB DDR4 RAM,Windows 11,512 GB SSD,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,79999.0,99999.0,Free delivery,Bank Offer,,4.0,HP,Intel,Intel
HP Intel Intel Core i5 10th Gen 10300H - (16 GB/512 GB SSD/Windows 10 Home/4 GB Graphics) 15-ep0011TX ...,Intel Core i5 Processor (10th Gen),16 GB DDR4 RAM,Windows 10,512 GB SSD,39.62 cm (15.6 inch) Display,Microsoft Office Home and Student 2019,75999.0,140000.0,Free delivery,Bank Offer,,3.0,HP,Intel,Intel
ASUS Chromebook Intel Celeron Dual Core N4020 - (4 GB/32 GB EMMC Storage/Chrome OS) CX1101CMA_ID-GJ000...,Intel Celeron Dual Core Processor,4 GB LPDDR4 RAM,Chrome,32 GB EMMC Storage,1 Year onsite warranty,,12990.0,24990.0,Free delivery,Bank Offer,,3.0,ASUS,Intel,Intel
Lenovo Ideapad Intel Celeron Dual Core N4020 - (4 GB/64 GB EMMC Storage/Chrome OS) 11IGL05 Chromebook,Intel Celeron Dual Core Processor,4 GB LPDDR4 RAM,Chrome,64 GB EMMC Storage,1 Year Carry-in Warranty,,15880.0,25710.0,Free delivery,Save extra with combo offers,Bank Offer,4.0,Lenovo,Intel,Intel
Lenovo V Series AMD Ryzen 7 Hexa Core 7730U - (16 GB/512 GB SSD/Windows 11 Home) v15 G4 Business Lapto...,AMD Ryzen 7 Hexa Core Processor,16 GB DDR4 RAM,Windows 11 Home,512 GB SSD,39.62 cm (15.6 inch) Display,Ms office,44490.0,58500.0,Free delivery,Bank Offer,,4.0,Lenovo,AMD,AMD
Infinix X1 Slim Series Intel Core i5 10th Gen 1035G1 - (16 GB/512 GB SSD/Windows 11 Home) XL21 Thin an...,Intel Core i5 Processor (10th Gen),16 GB LPDDR4X RAM,Windows 11,512 GB SSD,35.56 cm (14 Inch) Display,,34490.0,64999.0,Free delivery,Lowest price since launch,Bank Offer,4.0,Infinix,Intel,Intel
Infinix Y4 Max Series Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) YL613 Thin and...,Intel Core i5 Processor (13th Gen),16 GB LPDDR4X RAM,Windows 11,512 GB SSD,40.64 cm (16 inch) Display,,41990.0,64990.0,Free delivery,EOSS Special Deal,"Upto ?28,000 Off on Exchange",4.0,Infinix,Intel,Intel
HP G8 Intel Core i3 11th Gen 1115G4 - (8 GB/512 GB SSD/Windows 11 Home) 240 G8 Business Laptop,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,32 bit Windows 11,512 GB SSD,35.56 cm (14 inch) Display,na,31990.0,43990.0,Free delivery,Bank Offer,,4.0,HP,Intel,Intel
MSI GF63 Intel Core i5 11th Gen 11400H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce...,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,Windows 11,512 GB SSD,39.62 cm (15.6 Inch) Display,2 Year Carry-In Warranty Term,56990.0,83990.0,Free delivery,Hot Deal,"Upto ?30,000 Off on Exchange",4.0,MSI,Intel,Intel
HP Laptop Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) 15s-fq5329TU Thin and Light...,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,Windows 11,512 GB SSD,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,51990.0,62963.0,Free delivery,EOSS Special Deal,"Upto ?28,000 Off on Exchange",4.0,HP,Intel,Intel
HP 15s (2023) AMD Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) 15-fc0028AU Thin and Lig...,AMD Ryzen 5 Quad Core Processor,8 GB DDR4 RAM,Windows 11,512 GB SSD,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,45490.0,55691.0,Free delivery,Save extra with combo offers,"Upto ?28,000 Off on Exchange",4.0,HP,AMD,AMD
ASUS Intel Core i7 12th Gen - (16 GB/512 GB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce RTX 8GB R...,Intel Core i7 Processor (12th Gen),16 GB DDR4 RAM,Windows 11,512 GB SSD,39.62 cm (15.6 inch) Display,1 years warranty,107390.0,133990.0,Free delivery,Bank Offer,,4.0,ASUS,Intel,Intel
ASUS VivoBook K15 OLED (2022) AMD Ryzen 5 Hexa Core AMD R5-5500U - (8 GB/1 TB HDD/256 GB SSD/Windows 1...,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,Windows 11,1 TB HDD|256 GB SSD,39.62 cm (15.6 inch) Display,Office Home and Student 2021,52100.0,78990.0,Free delivery,Bank Offer,,4.0,ASUS,AMD,AMD
HP Victus Intel Core i5 12th Gen 12450H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForc...,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,Windows 11,512 GB SSD,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty,56400.0,83039.0,Free delivery,Bank Offer,,4.0,HP,Intel,Intel
HP Victus Intel Core i7 12th Gen 12650H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForc...,Intel Core i7 Processor (12th Gen),8 GB DDR4 RAM,Windows 11,512 GB SSD,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty,77990.0,101298.0,Free delivery,Bank Offer,,3.0,HP,Intel,Intel
DELL Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) Inspiron 3520 Thin and Light La...,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,Windows 11,512 GB SSD,39.62 cm (15.6 Inch) Display,1 Year Onsite Hardware Service,53990.0,68980.0,Free delivery,Bank Offer,,3.0,DELL,Intel,Intel
DELL Intel Core i3 13th Gen - (8 GB/1 TB SSD/Windows 11 Home) IC7430XYW6F002ORS1 Thin and Light Laptop,Intel Core i3 Processor (13th Gen),8 GB LPDDR5 RAM,Windows 11,1 TB SSD,35.56 cm (14 inch) Touchscreen Display,1-year warranty,59890.0,77000.0,Free delivery,Bank Offer,,3.0,DELL,Intel,Intel
Lenovo ThinkPad E14 Intel Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) TP E14 Gen...,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,Windows 11,512 GB SSD,35.56 cm (14 Inch) Display,1 Year Onsite Warranty,70999.0,113000.0,Free delivery,Bank Offer,,3.0,Lenovo,Intel,Intel
Lenovo Yoga 9 4K OLED Intel Evo Intel Core i7 13th Gen 1360P - (16 GB/1 TB SSD/Windows 11 Home) 14IRP8...,Intel Core i7 Processor (13th Gen),16 GB LPDDR5 RAM,Windows 11,1 TB SSD,35.56 cm (14 Inch) Touchscreen Display,3 Years Onsite Warranty + 3 Years Premium Care + 1 Year Accidental Damage Protection,175190.0,230890.0,Free delivery,Save extra with combo offers,"Upto ?28,000 Off on Exchange",3.0,Lenovo,Intel,Intel
DELL Vostro AMD Ryzen 3 Dual Core R3-3250U - (8 GB/1 TB HDD/Windows 11 Home) Vostro 3405 Thin and Ligh...,AMD Ryzen 3-3250U (2.60 GHz up to 3.50 GHz),RAM & Storage: 8GB DDR4 (2 DIMM Slots) & 1TB HDD,Software: Win 11 + Office H&S 2021,1 TB HDD,"Ports: USB 3.2 Gen 1 (x2), USB2.0 (x1), HDMI 1.4, SD Media Card Reader (SD, SDHC, SDXC), RJ45 - 10/100Mbps",WiFi & BT: 802.11ac 1x1 WiFi and Bluetooth,31990.0,50651.0,Free delivery,EOSS Special Deal,Bank Offer,3.0,DELL,Processor:,AMD
